gene_pair_ko	reduce_dep	motif	side	SFE_2	SFE_1	support_1	support_2	overlap	max_overlap	freq_overlap	int_type	r_overlap	r_freq_overlap	wMI_stat	E.r.wMI_stat	ME_p.value	wMI_p.value	APC	direction	dMI	ME_good	wMI_good	APC_good	significance	genes_1	genes_2	alt_1	alt_2	gene_1	gene_2	p_anova	bf	driver/driver_n	driver/wt_n	wt/driver_n	WT_n	driver/driver_median	driver/wt_median	wt/driver_median	WT_median	posthoc_bf_direct.1_s1	posthoc_bf_direct.1_s2	posthoc_bf_indirect.1_s1	posthoc_bf_indirect.1_s2	posthoc_bf_indirect.3_s1	posthoc_bf_indirect.3_s2	posthoc_bf_combo.1_s1	posthoc_bf_combo.1_s2	posthoc_bf_combo.3_s1	posthoc_bf_combo.3_s2	driver/wt - driver/driver	wt/driver - driver/driver	driver/driver - WT	wt/driver - driver/wt	driver/wt - WT	wt/driver - WT	role_1	role_2	center	dd	dw	wd	ww	ko_on	important_diff	important_posthoc_anova_p	important_posthoc_bf	important_bf.ratio	important_normalized_effect_diff	important_posthoc_bf_direct	important_posthoc_bf_indirect	experiment	input_motif	ko_gene	gene.1_gene.2_ko	gene.pair	motif_ko	uid	significant_diff	lev	n_sig	n_precise	n	consistent
CDK4--BRAF__BRAF	FALSE	MUT.BRAF_BRAF/MUT.CDK4_CDK4	first	MUT.CDK4	MUT.BRAF	599	19	8	17	0.470588235294118	MUT - MUT	5.6766	0.333917647058823	0.00050335864723	0.000234582462015	0.119	0.199	0.003545897461435	CO	0.000268776185215	FALSE	FALSE	TRUE	significant_robust	BRAF	CDK4	MUT	MUT	BRAF	CDK4	6.00237297263552E-37	4.11163263693214E+041	4	34	0	252	-0.90657548399988	-0.839294826446266	NA	-0.073180815177904	0.465024159240074	1	117298.610287281	NA	268097.038735876	NA	1	1	1	1	0.288444276997605	NA	NA	NA	NA	NA	og	og	-0.565786913219156	-0.256750530493138	-0.20045191469437	NA	0.457202445187508	og	-0.067280657553614	0.288444276997605	NA	NA	-0.056298615798768	0.465024159240074	268097.038735876	AVANA	MUT.BRAF/MUT.CDK4	BRAF	BRAF__CDK4__BRAF	CDK4--BRAF	MUT.BRAF/MUT.CDK4__BRAF	MUT.BRAF_BRAF/MUT.CDK4_CDK4__BRAF__AVANA	FALSE	event_inc	1	4	0	TRUE
CDK4--BRAF__BRAF	FALSE	MUT.BRAF_BRAF/MUT.CDK4_CDK4	first	MUT.CDK4	MUT.BRAF	599	19	8	17	0.470588235294118	MUT - MUT	5.6766	0.333917647058823	0.00050335864723	0.000234582462015	0.119	0.199	0.003545897461435	CO	0.000268776185215	FALSE	FALSE	TRUE	significant_robust	BRAF	CDK4	MUT	MUT	BRAF	CDK4	7.78375013518893E-29	2.93508830915909E+032	4	45	0	329	-0.887501119721936	-0.542587416897526	NA	-0.002904336831588	0.568735491386281	1	4512.86023817649	NA	10235.3634785017	NA	1	1	1	1	0.027144844178461	NA	NA	NA	NA	NA	og	og	-0.487396956857491	-0.358925290069598	-0.118305609768837	NA	0.477230899838436	og	-0.34491370282441	0.027144844178461	NA	NA	-0.240619680300761	0.568735491386281	10235.3634785017	DEMETER2	MUT.BRAF/MUT.CDK4	BRAF	BRAF__CDK4__BRAF	CDK4--BRAF	MUT.BRAF/MUT.CDK4__BRAF	MUT.BRAF_BRAF/MUT.CDK4_CDK4__BRAF__DEMETER2	FALSE	event_exc	1	4	0	TRUE
CDK4--BRAF__BRAF	FALSE	MUT.BRAF_BRAF/MUT.CDK4_CDK4	first	MUT.CDK4	MUT.BRAF	599	19	8	17	0.470588235294118	MUT - MUT	5.6766	0.333917647058823	0.00050335864723	0.000234582462015	0.119	0.199	0.003545897461435	CO	0.000268776185215	FALSE	FALSE	TRUE	significant_robust	BRAF	CDK4	MUT	MUT	BRAF	CDK4	8.04465173282244E-29	6.34035472765665E+032	5	58	0	329	-0.929481381354249	-0.658665223143088	NA	-0.002904336831588	0.901168361996634	1	1564.96684280277	NA	22166.3178708202	NA	1	1	1	1	0.045957990762517	NA	NA	NA	NA	NA	og	og	-0.511744375146875	-0.350037334358037	-0.14709956203018	NA	0.497136896388218	og	-0.270816158211161	0.045957990762517	NA	NA	-0.202937772327857	0.901168361996634	22166.3178708202	DEMETER2	MUT.BRAF/MUT.CDK4	BRAF	BRAF__CDK4__BRAF	CDK4--BRAF	MUT.BRAF/MUT.CDK4__BRAF	MUT.BRAF_BRAF/MUT.CDK4_CDK4__BRAF__DEMETER2	FALSE	event_inc	1	4	0	TRUE
CDK4--BRAF__BRAF	FALSE	MUT.BRAF_BRAF/MUT.CDK4_CDK4	first	MUT.CDK4	MUT.BRAF	599	19	8	17	0.470588235294118	MUT - MUT	5.6766	0.333917647058823	0.00050335864723	0.000234582462015	0.119	0.199	0.003545897461435	CO	0.000268776185215	FALSE	FALSE	TRUE	significant_robust	BRAF	CDK4	MUT	MUT	BRAF	CDK4	6.30997905829185E-39	5.96604899297446E+043	3	27	0	252	-0.835035414754522	-0.78301477214275	NA	-0.073180815177904	0.543747960669575	1	236551.453117356	NA	583966.475515493	NA	1	1	1	1	0.132637467814283	NA	NA	NA	NA	NA	og	og	-0.555542757798942	-0.271711849120383	-0.178695839835631	NA	0.450407688956015	og	-0.052020642611772	0.132637467814283	NA	NA	-0.093016009284752	0.543747960669575	583966.475515493	AVANA	MUT.BRAF/MUT.CDK4	BRAF	BRAF__CDK4__BRAF	CDK4--BRAF	MUT.BRAF/MUT.CDK4__BRAF	MUT.BRAF_BRAF/MUT.CDK4_CDK4__BRAF__AVANA	FALSE	event_exc	1	4	0	TRUE
CDK4--BRAF__BRAF	FALSE	MUT.BRAF_BRAF/MUT.CDK4_CDK4	first	MUT.CDK4	MUT.BRAF	599	19	8	17	0.470588235294118	MUT - MUT	5.6766	0.333917647058823	0.00050335864723	0.000234582462015	0.119	0.199	0.003545897461435	CO	0.000268776185215	FALSE	FALSE	TRUE	significant_robust	BRAF	CDK4	MUT	MUT	BRAF	CDK4	1.68833636319773E-16	4.50731289716664E+016	7	74	13	273	-0.845520858089623	-0.518732438012962	-0.006147525332119	0.011173019224936	0.598856095774608	2933.91542771353	101.111904858529	1.59933775850359E+017	2513.82809386514	1007.7212988879	1	1.59933775850359E+017	1	1007.7212988879	0.022438278123717	5.93366194645562E-06	NA	6.667067673094E-05	NA	0.909857427278759	og	og	-0.286684282219589	-0.357780705194127	-0.153843222959255	0.244712258674769	0.266911669478613	og	-0.326788420076661	0.022438278123717	NA	NA	-0.203937482234872	0.598856095774608	2513.82809386514	DEMETER2	MUT.BRAF/MUT.CDK4	BRAF	BRAF__CDK4__BRAF	CDK4--BRAF	MUT.BRAF/MUT.CDK4__BRAF	MUT.BRAF_BRAF/MUT.CDK4_CDK4__BRAF__DEMETER2	FALSE	gene	1	4	0	TRUE
CDK4--BRAF__BRAF	FALSE	MUT.BRAF_BRAF/MUT.CDK4_CDK4	first	MUT.CDK4	MUT.BRAF	599	19	8	17	0.470588235294118	MUT - MUT	5.6766	0.333917647058823	0.00050335864723	0.000234582462015	0.119	0.199	0.003545897461435	CO	0.000268776185215	FALSE	FALSE	TRUE	significant_robust	BRAF	CDK4	MUT	MUT	BRAF	CDK4	7.94078029968243E-18	4.45300775270946E+016	5	43	11	198	-0.835035414754522	-0.712877240605469	-0.106966804237676	-0.076018462238949	1.12277330724764	32263.9162779813	9307.98798083664	1.35774899206065E+017	78187.7587039334	72050.9464215481	9307.98798083664	1.35774899206065E+017	78187.7587039334	72050.9464215481	0.010572657739175	4.58789521928793E-07	NA	1.01630804012487E-05	NA	0.662373861429319	og	og	-0.363939803063929	-0.313020260549516	-0.123165646068744	0.201112894154329	0.235073012463931	og	-0.122158174149053	0.010572657739175	NA	NA	-0.189854614480771	1.12277330724764	78187.7587039334	AVANA	MUT.BRAF/MUT.CDK4	BRAF	BRAF__CDK4__BRAF	CDK4--BRAF	MUT.BRAF/MUT.CDK4__BRAF	MUT.BRAF_BRAF/MUT.CDK4_CDK4__BRAF__AVANA	TRUE	gene	1	4	0	TRUE
CDK4--BRAF__CDK4	FALSE	MUT.BRAF_BRAF/MUT.CDK4_CDK4	second	MUT.CDK4	MUT.BRAF	599	19	8	17	0.470588235294118	MUT - MUT	5.6766	0.333917647058823	0.00050335864723	0.000234582462015	0.119	0.199	0.003545897461435	CO	0.000268776185215	FALSE	FALSE	TRUE	significant_robust	BRAF	CDK4	MUT	MUT	BRAF	CDK4	0.002876924391901	9.41100169428227	5	43	11	198	-1.09246140469844	-0.528931049296769	-0.969727307427486	-0.385516854073545	21.2441128801415	1.24017588501648	41.1346540486165	8.45682813706314	39.2325644526005	21.8434847500908	41.1346540486165	8.45682813706314	39.2325644526005	21.8434847500908	0.000701536753992	0.05357160011556	NA	0.131659547815401	NA	0.136061166162696	og	og	-0.659354242672656	-0.232525270624076	0.122145300073312	-0.02928339881866	0.139663369369425	og	-0.12273409727095	0.05357160011556	NA	NA	-0.203241871805416	1.24017588501648	21.8434847500908	AVANA	MUT.BRAF/MUT.CDK4	CDK4	BRAF__CDK4__CDK4	CDK4--BRAF	MUT.BRAF/MUT.CDK4__CDK4	MUT.BRAF_BRAF/MUT.CDK4_CDK4__CDK4__AVANA	TRUE	gene	1	0	0	TRUE
CDKN2A--CCNE1__CCNE1	TRUE	AMP.consensus.chr19:30196295-30723166_CCNE1/DEL.consensus.chr9:21186568-22829484_CDKN2A	first	DEL.consensus.chr9:21186568-22829484	AMP.consensus.chr19:30196295-30723166	325	1088	33	219	0.150684931506849	AMP - DEL	49.6294	0.226618264840183	0.007386912311025	0.003593028586345	0.0018	0.0018	0.002982807904736	ME	0.00379388372468	FALSE	FALSE	TRUE	significant_permissive	CCNE1	CDKN2A	AMP	DEL	CCNE1	CDKN2A	2.8374588690692E-11	23599525624.4021	6	9	107	107	0.083	-2.214	0.069	-0.041	2.80025612665667	0.448442642589701	80.7508032001694	2132624.89152082	7.48556193456128E-06	1.26095723157317	80.7508032001694	1	7.48556193456128E-06	1	5.37558653590509E-07	0.924135736029889	NA	1.4293677352839E-11	NA	3.25136105314705E-05	og	tsg	-0.374178535316898	0.404415983350268	-1.0317519669574	0.47785543712503	0.149480546482105	og	2.297	5.37558653590509E-07	NA	NA	1.43616795030767	2.80025612665667	7.48556193456128E-06	DRIVE_ataris	AMP.consensus.chr19:30196295-30723166/DEL.consensus.chr9:21186568-22829484	CCNE1	CCNE1__CDKN2A__CCNE1	CDKN2A--CCNE1	AMP.consensus.chr19:30196295-30723166/DEL.consensus.chr9:21186568-22829484__CCNE1	AMP.consensus.chr19:30196295-30723166_CCNE1/DEL.consensus.chr9:21186568-22829484_CDKN2A__CCNE1__DRIVE_ataris	TRUE	event_exc	8	8	6	TRUE
CDKN2A--CCNE1__CCNE1	TRUE	AMP.consensus.chr19:30196295-30723166_CCNE1/DEL.consensus.chr9:21186568-22829484_CDKN2A	first	DEL.consensus.chr9:21186568-22829484	AMP.consensus.chr19:30196295-30723166	325	1088	33	219	0.150684931506849	AMP - DEL	49.6294	0.226618264840183	0.007386912311025	0.003593028586345	0.0018	0.0018	0.002982807904736	ME	0.00379388372468	FALSE	FALSE	TRUE	significant_permissive	CCNE1	CDKN2A	AMP	DEL	CCNE1	CDKN2A	4.34387927572786E-14	8537830553357.35	7	11	182	119	-0.085506525775501	-0.683864132342616	-0.06045032757458	-0.125846022784985	13.4339978179324	0.626637947626267	169.423793414759	75459924.6423731	6.0368400086127E-05	0.70922863526132	169.423793414759	1	6.0368400086127E-05	1	7.43579366302427E-06	0.291684266439387	NA	9.76996261670138E-15	NA	4.96707202495283E-05	og	tsg	-0.252609068855563	0.081036033383551	-0.312602721932517	0.166012159681208	0.065554528867758	og	0.598357606567115	7.43579366302427E-06	NA	NA	0.393638755316068	13.4339978179324	6.0368400086127E-05	AVANA	AMP.consensus.chr19:30196295-30723166/DEL.consensus.chr9:21186568-22829484	CCNE1	CCNE1__CDKN2A__CCNE1	CDKN2A--CCNE1	AMP.consensus.chr19:30196295-30723166/DEL.consensus.chr9:21186568-22829484__CCNE1	AMP.consensus.chr19:30196295-30723166_CCNE1/DEL.consensus.chr9:21186568-22829484_CDKN2A__CCNE1__AVANA	TRUE	gene	8	8	6	TRUE
CDKN2A--CCNE1__CCNE1	TRUE	AMP.consensus.chr19:30196295-30723166_CCNE1/DEL.consensus.chr9:21186568-22829484_CDKN2A	first	DEL.consensus.chr9:21186568-22829484	AMP.consensus.chr19:30196295-30723166	325	1088	33	219	0.150684931506849	AMP - DEL	49.6294	0.226618264840183	0.007386912311025	0.003593028586345	0.0018	0.0018	0.002982807904736	ME	0.00379388372468	FALSE	FALSE	TRUE	significant_permissive	CCNE1	CDKN2A	AMP	DEL	CCNE1	CDKN2A	0.200673977582362	0.859613287475784	16	23	27	61	2.14120372707809	2.03602281520212	2.30887506585891	2.401974913292	0.579153071212568	0.446651257205615	1.05983384111304	1.59400671625923	0.891651509364966	1.07138164324114	1	1	1	1	0.296634763890098	0.283391857358953	NA	0.978453011466569	NA	0.068434706235709	og	tsg	1.76147882935929	0.169654444647818	-0.325390809403811	-0.200372587312366	0.356108952068359	og	0.10518091187597	0.296634763890098	NA	NA	0.495045254051629	0.579153071212568	0.891651509364966	SCORE	AMP.consensus.chr19:30196295-30723166/DEL.consensus.chr9:21186568-22829484	CCNE1	CCNE1__CDKN2A__CCNE1	CDKN2A--CCNE1	AMP.consensus.chr19:30196295-30723166/DEL.consensus.chr9:21186568-22829484__CCNE1	AMP.consensus.chr19:30196295-30723166_CCNE1/DEL.consensus.chr9:21186568-22829484_CDKN2A__CCNE1__SCORE	FALSE	event_exc	8	8	6	TRUE
